Item	Frequency
trump admin	0.007
ballot	0.007
trending	0.007
zoom	0.007
concerned	0.007
hospitalise	0.007
stock market	0.007
sent	0.007
common cold	0.0069
new strain	0.0069
live update	0.0069
downplay	0.0069
yrs	0.0069
complications	0.0069
tweeting	0.0069
message	0.0069
spain	0.0069
moratorium	0.0069
covid denier	0.0068
coronavirus lockdown	0.0068
intensive care	0.0068
hhs	0.0068
stats	0.0068
impeachment	0.0068
claiming	0.0068
kushner	0.0068
sen.	0.0068
economic crisis	0.0068
asshole	0.0068
spread of #covid19	0.0068
package	0.0068
increase	0.0068
flu shot	0.0067
health ministry	0.0067
arrested	0.0067
executive order	0.0067
conduct	0.0067
ebola	0.0067
crowds	0.0067
coronavirus task force	0.0067
japan	0.0067
surgical mask	0.0066
recovery rate	0.0066
flu season	0.0066
covid as weapon	0.0066
claims	0.0066
mislead	0.0066
understand	0.0066
canceled	0.0066
golf	0.0066
floridian	0.0066
nov	0.0066
holidays	0.0066
negative test	0.0065
lab leak	0.0065
whole pandemic	0.0065
public health official	0.0065
medical expert	0.0065
virologist	0.0065
taxes	0.0065
banned	0.0065
coronavirus testing	0.0065
depression	0.0065
long term	0.0065
caught	0.0065
michigan	0.0065
doses	0.0065
covid hospitalization	0.0064
covid-19 variant	0.0064
spanish flu	0.0064
safety measure	0.0064
health emergency	0.0064
socially	0.0064
ssr	0.0064
letting	0.0064
superspreader	0.0064
psaki	0.0064
gujarat	0.0064
pill	0.0064
protocol	0.0064
fears	0.0064
public health expert	0.0063
healthy people	0.0063
vaccination drive	0.0063
covid-19 situation	0.0063
panic buying	0.0063
medical supply	0.0063
hand sanitizer	0.0063
counting	0.0063
ffs	0.0063
difficult time	0.0063
thousand of people	0.0063
ongoing	0.0063
monoclonal	0.0063
kumbh	0.0063
expert	0.0063
covid booster	0.0062
covid-19 protocol	0.0062
blue state	0.0062
pubs	0.0062
suicide	0.0062
mess	0.0062
concerns	0.0062
thru	0.0062
icus	0.0062
loeffler	0.0062
easing	0.0062
surging	0.0062
offline	0.0062
origin	0.0062
number of people	0.0062
covid policy	0.0061
covid wave	0.0061
covid19 vaccine	0.0061
staying home	0.0061
first wave	0.0061
prof	0.0061
anxiety	0.0061
trump rally	0.0061
feb	0.0061
malaysia	0.0061
clinical trial	0.0061
only thing	0.0061
vaccinated	0.0061
rich	0.0061
related death	0.006
spread of the virus	0.006
द	0.006
mandates	0.006
blocked	0.006
jared	0.006
contracting	0.006
president-elect	0.006
covishield	0.006
coup	0.006
alarming	0.006
gandhi	0.006
buying	0.006
president @realdonaldtrump	0.006
health insurance	0.006
tax	0.006
vaccination status	0.0059
entire pandemic	0.0059
rand paul	0.0059
mask in public	0.0059
